ID,playerID,yearID,stint,teamID,team_ID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
107342,wainwad01,2019,1,SLN,2921,NL,31,NULL,50,6,8,3,0,0,2,0,0,2,20,0,0,6,1,0
107343,waldema01,2019,1,BOS,2899,AL,70,NULL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107344,waldimi01,2019,1,PHI,2916,NL,2,NULL,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
107345,walkech02,2019,1,ARI,2896,NL,152,NULL,529,86,137,26,1,29,73,8,1,67,155,6,6,0,1,11
107346,walkeje02,2019,1,ATL,2897,NL,6,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107347,walkene01,2019,1,MIA,2910,NL,115,NULL,337,37,88,19,1,8,38,3,0,42,77,1,1,0,1,8
107348,walketa01,2019,1,ARI,2896,NL,1,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107349,wallach01,2019,1,MIA,2910,NL,19,NULL,48,4,12,3,0,1,3,0,0,6,12,0,0,0,0,0
107350,walshja01,2019,1,LAA,2908,AL,34,NULL,79,6,16,5,1,1,5,0,0,6,35,1,2,0,0,0
107351,waltodo01,2019,1,SEA,2919,AL,7,NULL,16,2,3,0,0,0,2,0,1,3,5,0,0,0,0,0
107352,wangwe01,2019,1,OAK,2915,AL,20,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107353,wangwe01,2019,2,PIT,2917,NL,5,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107354,wardta01,2019,1,LAA,2908,AL,20,NULL,42,4,8,3,0,1,2,0,0,6,23,0,0,0,0,1
107355,warread01,2019,1,SDN,2918,NL,25,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107356,warrear01,2019,1,SEA,2919,AL,6,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107357,watsoto01,2019,1,SFN,2920,NL,60,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107358,weavelu01,2019,1,ARI,2896,NL,13,NULL,19,2,2,0,0,1,4,0,0,0,11,0,0,1,1,0
107359,webbja01,2019,1,ATL,2897,NL,36,NULL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107360,webblo01,2019,1,SFN,2920,NL,9,NULL,9,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1
107361,webbty01,2019,1,SLN,2921,NL,65,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107362,weberry01,2019,1,BOS,2899,AL,18,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
